version;wahl-behoerde-gs;wahl-datum;wahl-name;bezirk-nr;bezirk-name;zeitstempel-erfassung;A1;A2;A3;A;B;B1;C;D;E;F;D1;F1;D2;F2;D3;F3;D4;F4;D5;F5;D6;F6;D7;F7;D8;F8;D9;F9;D10;F10;D11;F11;D12;F12;D13;F13;D14;F14;D15;F15;D16;F16;D17;F17;D18;F18
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;1011;1011 Volkspark;23.02.2025 16:34:22 780;561;127;0;688;270;0;6;264;5;265;81;67;36;31;17;20;6;9;54;57;33;37;0;1;0;4;0;0;11;3;1;1;0;1;4;4;0;0;0;1;21;29;0;0;0;0
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;1012;1012 Theater;23.02.2025 16:34:22 780;772;190;0;962;412;0;8;404;8;404;133;112;96;94;19;26;10;18;69;68;47;58;0;5;0;1;0;0;6;3;3;1;0;2;2;1;0;0;0;1;19;14;0;0;0;0
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;1013;1013 Friedrich-Ebert-Platz / Kunstquartier;23.02.2025 16:34:22 780;821;261;0;1082;443;0;12;431;5;438;105;91;75;79;36;33;5;7;109;109;71;77;0;4;0;5;0;0;6;0;5;1;0;1;2;0;0;0;0;0;17;29;0;0;0;2
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;1014;1014 Kratzkopf;23.02.2025 16:34:22 780;843;249;0;1092;466;0;2;464;1;465;110;101;111;109;29;29;15;15;112;106;45;51;0;8;0;3;0;1;7;1;5;1;0;1;1;0;0;0;0;0;29;39;0;0;0;0
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;1021;1021 Volmeaue;23.02.2025 16:34:22 780;699;177;0;876;595;0;11;584;5;590;122;108;183;189;26;29;30;32;165;149;31;38;0;5;0;4;0;1;6;2;7;4;0;0;1;0;0;0;0;0;13;28;0;0;0;1
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;1022;1022 Funckepark;23.02.2025 16:34:22 780;586;265;0;851;391;0;5;386;5;386;90;65;96;98;38;31;16;20;78;74;35;56;0;6;0;0;0;1;8;0;2;0;0;0;0;0;0;0;0;0;23;35;0;0;0;0
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;1023;1023 Yorckstr.;23.02.2025 16:34:22 780;635;174;0;809;344;0;5;339;3;341;66;58;80;82;21;19;10;13;82;71;42;55;0;6;0;0;0;0;9;3;2;1;0;0;0;0;0;0;0;0;27;33;0;0;0;0
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;1024;1024 Funckestr.;23.02.2025 16:34:22 780;648;218;0;866;460;0;8;452;6;454;127;109;100;95;36;34;18;18;104;107;36;52;0;8;0;1;0;0;8;0;3;1;0;1;1;0;0;1;0;0;19;25;0;0;0;2
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;1025;1025 Am Ischeland;23.02.2025 16:34:22 780;500;318;0;818;353;0;5;348;2;351;81;58;93;89;19;25;13;18;82;80;34;43;0;5;0;1;0;1;5;3;4;1;0;3;0;1;0;0;0;1;17;22;0;0;0;0
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;1031;1031 Adolf- / Sedanstr.;23.02.2025 16:34:22 780;478;81;0;559;194;0;6;188;4;190;53;39;32;34;3;4;5;7;39;37;21;37;0;3;0;1;0;1;21;9;0;0;0;0;1;0;0;0;0;0;13;18;0;0;0;0
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;1032;1032 Brink- / Altenhagener Str.;23.02.2025 16:34:22 780;674;100;0;774;350;0;10;340;6;344;81;73;48;47;13;14;3;4;75;72;58;70;0;5;0;2;0;0;22;6;2;3;0;3;1;0;0;0;0;0;37;43;0;1;0;1
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;1033;1033 St.-Josefs-Hospital;23.02.2025 16:34:22 780;554;111;0;665;229;0;5;224;4;225;52;42;28;33;10;13;7;6;58;59;36;37;0;2;0;3;0;0;13;7;1;0;0;0;1;2;0;0;0;2;18;19;0;0;0;0
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;1034;1034 Kinkelstr.;23.02.2025 16:34:22 780;1062;355;0;1417;691;0;7;684;5;686;188;163;129;118;50;53;21;23;179;172;58;78;0;9;0;4;0;1;9;4;8;5;0;3;1;0;0;1;0;1;41;49;0;1;0;1
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;1041;1041 Zur Heide;23.02.2025 16:34:22 780;839;219;0;1058;539;0;14;525;13;526;153;116;100;102;23;30;16;10;127;121;56;80;0;14;0;3;0;1;9;5;2;2;0;1;3;0;0;1;0;0;36;40;0;0;0;0
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;1042;1042 Alexander- / Alleestr.;23.02.2025 16:34:22 780;574;94;0;668;267;0;9;258;9;258;72;68;28;25;5;4;7;4;83;86;35;40;0;1;0;3;0;3;5;1;1;1;0;0;0;0;0;1;0;0;22;20;0;1;0;0
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;1043;1043 Ginsterheide;23.02.2025 16:34:22 780;858;275;0;1133;628;0;14;614;9;619;166;139;155;145;47;54;23;23;150;148;37;56;0;6;0;3;0;0;4;2;2;4;0;1;0;0;0;0;0;1;30;35;0;1;0;1
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;1044;1044 Polizeipräsidium;23.02.2025 16:34:22 780;697;200;0;897;472;0;6;466;2;470;120;104;102;98;17;21;8;10;143;139;41;48;0;8;0;1;0;1;11;6;1;2;0;1;0;0;0;0;0;0;23;31;0;0;0;0
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;1051;1051 Höing;23.02.2025 16:34:22 780;721;368;0;1089;626;0;4;622;2;624;164;132;185;177;91;93;33;39;85;88;32;56;0;6;0;2;0;3;8;2;6;1;0;0;1;0;0;0;0;0;17;25;0;0;0;0
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;1052;1052 Fleyer Str.;23.02.2025 16:34:22 780;658;458;0;1116;543;0;1;542;2;541;99;95;215;211;78;79;29;19;81;77;19;27;0;9;0;2;0;1;3;3;3;1;0;4;1;0;0;0;0;0;14;12;0;0;0;1
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;1053;1053 Tondernsiedlung;23.02.2025 16:34:22 780;517;275;0;792;411;0;3;408;1;410;108;83;135;136;28;32;16;22;82;81;25;33;0;7;0;1;0;2;1;0;4;1;0;2;1;0;0;0;0;0;8;8;0;0;0;2
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;1054;1054 Lützowstr.;23.02.2025 16:34:22 780;616;278;0;894;504;0;5;499;3;501;112;104;184;186;49;50;28;23;86;83;21;27;0;4;0;1;0;2;3;2;2;0;0;1;0;0;0;0;0;0;14;18;0;0;0;0
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;1055;1055 Bredelle;23.02.2025 16:34:22 780;750;404;0;1154;622;0;3;619;1;621;140;121;226;220;53;60;28;31;119;110;31;33;0;11;0;4;0;0;1;2;3;1;0;3;2;0;0;1;0;0;16;22;0;2;0;0
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;1061;1061 Walddorfstr.;23.02.2025 16:34:22 780;762;463;0;1225;603;0;9;594;10;593;146;117;198;183;48;56;31;44;125;133;19;31;0;3;0;1;0;0;6;2;6;1;0;1;0;0;0;1;0;2;15;17;0;1;0;0
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;1062;1062 Ascherothstr.;23.02.2025 16:34:22 780;845;425;0;1270;680;0;10;670;12;668;152;116;236;220;52;65;28;43;133;127;32;47;0;4;0;2;0;1;13;2;6;4;0;3;0;0;0;0;0;1;18;31;0;2;0;0
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;1063;1063 Boloh;23.02.2025 16:34:22 780;781;321;0;1102;649;0;4;645;2;647;133;114;201;198;59;49;22;23;139;140;47;62;0;9;0;0;0;6;13;4;4;0;0;1;1;1;0;1;0;2;26;37;0;0;0;0
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;1064;1064 Haferkamp;23.02.2025 16:34:22 780;681;280;0;961;529;0;8;521;6;523;138;112;159;149;48;51;13;19;97;106;28;45;0;9;0;4;0;0;4;0;6;1;0;2;2;1;0;1;0;2;26;21;0;0;0;0
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;1065;1065 Fachhochschule;23.02.2025 16:34:22 780;655;353;0;1008;481;0;2;479;4;477;108;98;133;133;33;30;7;6;133;125;42;44;0;6;0;1;0;1;6;3;2;1;0;1;0;0;0;2;0;0;15;26;0;0;0;0
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;1071;1071 Am Waldesrand;23.02.2025 16:34:22 780;614;360;0;974;480;0;6;474;7;473;106;98;165;169;32;28;20;23;102;101;21;24;0;3;0;2;0;0;7;3;4;0;0;0;2;1;0;1;0;0;15;20;0;0;0;0
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;1072;1072 Alt-Emst;23.02.2025 16:34:22 780;766;419;0;1185;668;0;6;662;2;666;154;138;244;231;76;80;25;40;119;109;24;34;0;7;0;2;0;2;3;0;2;1;0;2;0;0;0;2;0;0;15;18;0;0;0;0
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;1073;1073 Fritz-Steinhoff-Park;23.02.2025 16:34:22 780;758;350;0;1108;579;0;11;568;9;570;136;116;172;165;35;36;20;30;146;137;29;39;0;11;0;1;0;1;8;2;6;2;0;2;1;1;0;0;0;0;15;27;0;0;0;0
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;1074;1074 Max-Planck-Str. / Haßley;23.02.2025 16:34:22 780;855;387;0;1242;653;0;11;642;8;645;125;97;184;174;47;51;22;32;198;200;30;40;0;12;0;4;0;3;12;2;5;1;0;0;0;0;0;0;0;0;19;29;0;0;0;0
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;1075;1075 Bissingheim;23.02.2025 16:34:22 780;654;389;0;1043;560;0;5;555;1;559;126;118;223;205;48;47;20;26;91;91;28;41;0;6;0;3;0;0;5;2;2;0;0;0;1;1;0;1;0;0;11;18;0;0;0;0
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;1081;1081 Haldener Str.;23.02.2025 16:34:22 780;776;387;0;1163;593;0;8;585;7;586;147;123;158;151;43;44;16;21;148;144;33;46;0;9;0;5;0;1;7;1;5;0;0;2;0;0;0;3;0;0;28;35;0;1;0;0
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;1082;1082 Rembergstr.;23.02.2025 16:34:22 780;871;286;0;1157;516;0;6;510;1;515;141;109;89;84;27;31;13;22;154;152;44;69;0;6;0;0;0;0;7;2;1;3;0;1;1;0;0;1;0;6;33;29;0;0;0;0
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;1083;1083 Eickertstr.;23.02.2025 16:34:22 780;766;322;0;1088;467;0;8;459;3;464;110;92;96;101;32;36;18;19;121;107;42;48;0;6;0;6;0;2;12;1;4;1;0;2;0;0;0;0;0;2;24;41;0;0;0;0
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;1084;1084 Bülowstr.;23.02.2025 16:34:22 780;659;334;0;993;418;0;6;412;2;416;105;80;74;78;25;32;12;16;127;125;36;45;0;6;0;2;0;0;6;5;5;3;0;2;1;1;0;1;0;0;21;20;0;0;0;0
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;1085;1085 Eppenhauser Str.;23.02.2025 16:34:22 780;536;185;0;721;339;0;2;337;1;338;91;70;65;58;13;22;12;19;89;85;31;37;0;7;0;2;0;1;5;1;1;0;0;2;3;1;0;0;0;0;27;33;0;0;0;0
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;1091;1091 Minervastr.;23.02.2025 16:34:22 780;608;157;0;765;402;0;8;394;4;398;125;115;47;40;37;29;4;6;98;97;58;77;0;5;0;5;0;1;10;2;2;1;0;0;1;0;0;0;0;1;12;19;0;0;0;0
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;1092;1092 St. Michael-Kirche;23.02.2025 16:34:22 780;838;196;0;1034;530;0;7;523;4;526;132;112;58;50;58;57;6;17;118;106;102;113;0;7;0;5;0;3;8;3;5;1;0;3;4;2;0;1;0;2;32;40;0;0;0;4
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;1093;1093 Stadtgarten;23.02.2025 16:34:22 780;899;454;0;1353;668;0;6;662;3;665;179;144;149;136;86;77;19;23;132;127;57;96;0;10;0;6;0;4;8;0;4;1;0;1;2;2;0;0;0;0;26;38;0;0;0;0
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;1094;1094 Sternwarte;23.02.2025 16:34:22 780;690;265;0;955;463;0;8;455;8;455;120;106;80;76;46;45;12;13;119;122;48;50;0;11;0;4;0;0;3;3;5;1;0;1;2;0;0;1;0;2;20;20;0;0;0;0
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;1101;1101 Cunosiedlung;23.02.2025 16:34:22 780;777;252;0;1029;511;1;8;503;3;508;126;100;100;90;32;40;14;22;148;145;44;61;0;11;0;2;0;0;3;1;3;3;0;1;1;0;0;2;0;1;32;28;0;0;0;1
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;1102;1102 Kuhlerkamp;23.02.2025 16:34:22 780;786;379;0;1165;683;0;3;680;2;681;148;128;235;224;58;59;14;24;155;148;36;41;0;13;0;0;0;5;1;1;10;4;0;2;0;0;0;1;0;0;23;30;0;0;0;1
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;1103;1103 Wehringhauser Str. / Philippshöhe;23.02.2025 16:34:22 780;379;88;0;467;197;0;1;196;2;195;56;38;21;23;5;8;7;2;67;66;32;44;0;1;0;2;0;1;3;0;0;0;0;0;1;0;0;0;0;2;4;8;0;0;0;0
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;1104;1104 Södingstr.;23.02.2025 16:34:22 780;405;81;0;486;203;0;9;194;2;201;46;45;19;18;10;8;9;6;47;53;34;41;0;1;0;3;0;1;11;1;3;1;0;2;0;1;0;0;0;0;15;20;0;0;0;0
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;1105;1105 Feuerwache Mitte;23.02.2025 16:34:22 780;546;162;0;708;367;0;1;366;1;366;107;81;47;43;48;48;7;12;70;64;45;64;0;10;0;4;0;2;7;1;7;2;0;1;2;1;0;0;0;1;26;32;0;0;0;0
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;1106;1106 Wilhelmsplatz;23.02.2025 16:34:22 780;430;138;0;568;211;0;5;206;3;208;49;44;37;32;18;18;1;5;38;39;43;46;0;3;0;1;0;0;4;0;4;0;0;1;0;0;0;1;0;3;12;5;0;0;0;10
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;2111;2111 Brockhausen;23.02.2025 16:34:22 780;696;150;0;846;446;0;10;436;8;438;126;94;74;76;10;14;8;11;137;122;49;72;0;3;0;2;0;0;9;6;1;1;0;1;0;1;0;0;0;0;22;35;0;0;0;0
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;2112;2112 Niedernhofstr.;23.02.2025 16:34:22 780;546;278;0;824;415;0;6;409;3;412;86;68;114;123;29;33;15;15;121;113;18;28;0;3;0;0;0;3;1;3;4;1;0;1;0;0;0;0;0;0;21;20;0;1;0;0
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;2113;2113 Hilgenland;23.02.2025 16:34:22 780;508;230;0;738;370;0;3;367;6;364;76;61;106;106;15;19;13;9;103;110;26;29;0;2;0;1;0;0;3;2;2;2;0;1;1;1;0;1;0;0;22;20;0;0;0;0
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;2114;2114 Hagener Str.;23.02.2025 16:34:22 780;860;358;0;1218;706;0;9;697;5;701;155;134;232;225;54;52;28;30;167;174;22;35;0;9;0;5;0;0;6;4;6;3;0;3;0;0;0;0;0;0;27;27;0;0;0;0
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;2115;2115 Boele Kirche;23.02.2025 16:34:22 780;739;215;0;954;505;0;7;498;7;498;107;97;141;139;20;18;12;14;141;139;42;54;0;4;0;1;0;1;10;8;1;1;0;1;1;0;0;0;0;1;23;20;0;0;0;0
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;2116;2116 Allensteiner Str. / Hengstey;23.02.2025 16:34:22 780;648;322;0;970;473;0;1;472;2;471;110;90;131;127;32;26;11;11;142;144;19;30;0;9;0;3;0;1;3;2;3;2;0;2;4;0;0;0;0;0;17;24;0;0;0;0
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;2121;2121 Fritz-Steinhoff-Schule;23.02.2025 16:34:22 780;868;168;0;1036;619;0;11;608;7;612;139;112;128;120;21;22;10;10;223;232;46;64;0;6;0;2;0;1;6;4;6;4;0;0;0;0;0;1;0;2;29;32;0;0;0;0
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;2122;2122 Borgenfeldstr.;23.02.2025 16:34:22 780;551;151;0;702;383;0;2;381;3;380;79;58;97;94;19;17;16;19;117;122;19;23;0;8;0;0;0;0;2;2;1;0;0;0;0;1;0;0;0;0;31;35;0;0;0;1
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;2123;2123 Knüwenstr.;23.02.2025 16:34:22 780;633;162;0;795;406;0;6;400;3;403;105;88;83;91;8;9;5;7;143;135;33;40;0;4;0;2;0;0;6;2;1;1;0;0;1;0;0;1;0;0;15;21;0;2;0;0
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;2124;2124 Steinhausstr.;23.02.2025 16:34:22 780;613;168;0;781;355;0;3;352;3;352;78;62;56;56;9;13;8;14;138;136;28;35;0;6;0;3;0;0;6;3;3;1;0;1;1;0;0;0;0;0;25;22;0;0;0;0
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;2125;2125 Bathey;23.02.2025 16:34:22 780;454;173;0;627;352;0;5;347;1;351;74;63;87;94;15;15;7;11;113;106;16;26;0;7;0;0;0;0;3;1;6;4;0;0;2;0;0;0;0;1;24;23;0;0;0;0
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;2126;2126 Garenfeld;23.02.2025 16:34:22 780;969;396;0;1365;823;0;3;820;4;819;194;160;311;298;76;78;24;35;163;167;30;49;0;5;0;2;0;0;3;0;2;1;0;2;0;0;0;0;0;0;17;21;0;0;0;1
0.3;05914000;23.02.2025;Wahl zum Deutschen Bundestag;2131;2131 Helfer Str.;23.02.2025 16:34:22 780;623;220;0;843;479;0;6;473;6;473;99;78;113;108;39;44;22;22;156;159;26;35;0;3;0;0;0;0;2;1;1;1;0;2;0;0;0;0;0;0;15;20;0;0;0;0
