version;wahl-behoerde-gs;wahl-datum;wahl-name;bezirk-nr;bezirk-name;zeitstempel-erfassung;A1;A2;A3;A;B;B2;C;D;D1;D2;D3;D4;D5;D6
0.2;05366024;13.09.2020;Ratswahl NRW;01.0;1 Kall I;13.09.2020 20:39:18;377;260;0;637;447;249;4;443;134;102;75;82;9;41
0.2;05366024;13.09.2020;Ratswahl NRW;02.0;2 Kall II;13.09.2020 20:43:28;535;225;0;760;379;202;1;378;95;89;98;48;7;41
0.2;05366024;13.09.2020;Ratswahl NRW;03.0;3 Kall III;13.09.2020 20:19:11;439;182;0;621;373;174;2;371;83;169;36;44;6;33
0.2;05366024;13.09.2020;Ratswahl NRW;04.0;4 Kall IV;13.09.2020 19:25:35;408;182;0;590;310;164;5;305;132;72;37;29;8;27
0.2;05366024;13.09.2020;Ratswahl NRW;05.0;5 Kall V;13.09.2020 19:47:54;565;171;0;736;324;155;4;320;137;64;30;40;8;41
0.2;05366024;13.09.2020;Ratswahl NRW;06.0;6 Kall VI;13.09.2020 19:36:13;513;201;0;714;353;179;5;348;116;99;32;64;8;29
0.2;05366024;13.09.2020;Ratswahl NRW;07.1;7/1 Kall VII;13.09.2020 18:42:35;110;58;0;168;94;53;1;93;24;45;9;9;2;4
0.2;05366024;13.09.2020;Ratswahl NRW;07.2;7/2 Golbach;13.09.2020 19:51:00;381;139;0;520;353;128;1;352;23;273;22;8;7;19
0.2;05366024;13.09.2020;Ratswahl NRW;08.0;8 Ștenich;13.09.2020 19:42:26;573;269;0;842;559;259;8;551;44;165;218;47;11;66
0.2;05366024;13.09.2020;Ratswahl NRW;09.1;9/1 Rinnen;13.09.2020 19:20:56;219;102;0;321;225;101;1;224;33;34;125;15;4;13
0.2;05366024;13.09.2020;Ratswahl NRW;09.2;9/2 Urft;13.09.2020 19:15:08;180;85;0;265;181;80;3;178;11;107;32;10;4;14
0.2;05366024;13.09.2020;Ratswahl NRW;10.0;10 Sistig;13.09.2020 19:23:26;544;209;0;753;488;201;5;483;152;247;25;20;16;23
0.2;05366024;13.09.2020;Ratswahl NRW;11.1;11/1 Krekel;13.09.2020 19:43:34;317;130;0;447;313;125;4;309;75;35;131;42;6;20
0.2;05366024;13.09.2020;Ratswahl NRW;11.2;11/2 Steinfelderheistert;13.09.2020 18:57:29;54;44;0;98;71;41;0;71;16;29;12;10;0;4
0.2;05366024;13.09.2020;Ratswahl NRW;12.1;12/1 Wahlen;13.09.2020 19:39:48;299;139;0;438;297;129;4;293;112;59;30;70;5;17
0.2;05366024;13.09.2020;Ratswahl NRW;12.2;12/2 Steinfeld;13.09.2020 18:39:52;92;35;0;127;94;32;0;94;44;29;1;13;2;5
0.2;05366024;13.09.2020;Ratswahl NRW;13.0;13 Keldenich;13.09.2020 20:06:46;562;169;0;731;468;149;3;465;124;208;25;48;5;55
0.2;05366024;13.09.2020;Ratswahl NRW;14.1;14/1 Scheven;13.09.2020 20:45:39;322;116;0;438;301;107;2;299;28;25;204;23;6;13
0.2;05366024;13.09.2020;Ratswahl NRW;14.2;14/2 Wallenthal;13.09.2020 19:09:43;144;53;0;197;133;47;2;131;10;4;88;18;4;7
0.2;05366024;13.09.2020;Ratswahl NRW;14.3;14/3 Dottel;13.09.2020 18:33:24;113;34;0;147;113;33;1;112;10;7;81;10;1;3
