version;wahl-behoerde-gs;wahl-datum;wahl-name;bezirk-nr;bezirk-name;zeitstempel-erfassung;A1;A2;A3;A;B;B1;C;D;E;F;D1;F1;D2;F2;D3;F3;D4;F4;D5;F5;D6;F6;D7;F7;D8;F8;D9;F9;D10;F10;D11;F11;D12;F12;D13;F13;D14;F14;D15;F15;D16;F16;D17;F17;D18;F18;D19;F19;D20;F20;D21;F21;D22;F22;D23;F23;D24;F24;D35
0.3;08212000;26.09.2021;Bundestagswahl;00121;001-21 Hans-Thoma-Schule;26.09.2021 10:03:12 023;963;1069;0;2032;504;6;3;501;4;500;59;55;95;97;162;140;57;59;26;26;56;66;0;1;14;12;5;7;0;3;2;1;0;0;0;1;0;0;0;0;8;9;3;3;0;0;0;0;0;0;4;2;0;2;0;8;9;8;1
0.3;08212000;26.09.2021;Bundestagswahl;00122;001-22 Hans-Thoma-Schule;26.09.2021 10:03:12 023;894;843;0;1737;424;4;3;421;5;419;77;53;67;71;136;117;41;66;32;31;31;38;0;4;9;7;3;4;0;3;1;1;0;1;0;0;0;0;0;0;12;8;1;0;0;0;0;0;0;1;5;3;0;0;0;6;2;5;4
0.3;08212000;26.09.2021;Bundestagswahl;00221;002-21 Ständehaus;26.09.2021 10:03:12 023;733;828;0;1561;440;3;4;436;0;440;75;60;79;67;122;115;54;68;26;30;31;46;0;8;10;10;8;3;0;1;2;1;0;0;0;1;0;0;0;0;16;14;0;0;0;0;0;0;0;0;4;3;0;0;0;6;8;7;1
0.3;08212000;26.09.2021;Bundestagswahl;00222;002-22 Leopoldschule;26.09.2021 10:03:12 023;691;869;0;1560;433;10;7;426;8;425;56;52;81;76;133;135;41;54;18;17;47;41;0;4;7;8;7;6;0;1;2;0;0;0;0;0;0;0;0;0;21;21;2;2;0;1;0;0;0;0;4;1;0;0;0;3;7;3;0
0.3;08212000;26.09.2021;Bundestagswahl;00223;002-23 Leopoldschule;26.09.2021 10:03:12 023;637;817;0;1454;369;7;3;366;3;366;55;33;60;65;133;118;37;61;14;14;33;31;0;4;9;6;4;5;0;0;3;3;0;0;0;0;0;0;0;0;6;6;0;0;0;0;0;0;0;0;5;5;0;1;0;9;7;5;0
0.3;08212000;26.09.2021;Bundestagswahl;00224;002-24 Bismarck-Gymnasium;26.09.2021 10:03:12 023;829;1072;0;1901;534;16;5;529;2;532;60;51;98;87;217;192;63;93;21;25;27;43;0;2;14;4;6;4;0;4;1;3;0;0;0;0;1;0;0;1;11;9;2;2;0;0;0;0;0;1;3;2;0;0;0;2;2;7;3
0.3;08212000;26.09.2021;Bundestagswahl;00321;003-21 Friedrich-List-Schule;26.09.2021 10:03:12 023;477;944;0;1421;343;11;2;341;2;341;68;43;60;67;96;94;48;75;19;23;16;15;0;3;7;1;9;3;0;1;0;0;0;0;0;0;0;0;0;0;10;9;1;1;0;0;0;0;0;0;2;0;0;0;0;0;4;6;1
0.3;08212000;26.09.2021;Bundestagswahl;00322;003-22 Nebeniusschule;26.09.2021 10:03:12 023;1054;949;0;2003;675;13;7;668;6;669;78;68;117;135;227;196;62;70;37;39;80;77;0;5;12;13;12;9;0;5;3;2;0;0;0;2;0;0;0;1;27;20;2;4;0;0;0;0;0;1;3;2;0;0;0;13;7;7;1
0.3;08212000;26.09.2021;Bundestagswahl;00323;003-23 Nebeniusschule;26.09.2021 10:03:12 023;1188;961;0;2149;610;8;6;604;5;605;80;67;124;117;174;158;54;73;55;56;76;77;0;10;14;11;3;2;0;3;3;1;0;1;0;0;17;0;0;0;1;17;0;1;0;0;0;0;0;0;0;0;0;1;0;8;3;2;0
0.3;08212000;26.09.2021;Bundestagswahl;00324;003-24 Uhlandschule;26.09.2021 10:03:12 023;904;1211;0;2115;498;9;4;494;2;496;64;65;111;82;138;136;63;79;42;41;33;46;0;7;8;3;3;7;0;0;1;0;0;1;0;1;0;0;0;0;16;15;4;1;0;0;0;0;0;0;3;1;0;0;0;7;7;4;1
0.3;08212000;26.09.2021;Bundestagswahl;00325;003-25 Uhlandschule;26.09.2021 10:03:12 023;907;896;0;1803;501;5;3;498;4;497;42;38;86;79;176;161;56;62;24;31;67;65;0;7;22;21;2;3;0;7;2;0;0;0;0;1;2;0;0;1;14;11;2;2;0;1;0;0;0;0;0;0;0;0;0;3;2;4;1
0.3;08212000;26.09.2021;Bundestagswahl;00326;003-26 Friedrich-List-Schule;26.09.2021 10:03:12 023;540;897;0;1437;396;2;3;393;3;393;73;62;65;74;140;116;55;71;17;18;18;26;0;1;6;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;8;8;1;0;0;0;0;0;0;0;2;2;0;0;0;3;5;6;0
0.3;08212000;26.09.2021;Bundestagswahl;00327;003-27 Uhlandschule;26.09.2021 10:03:12 023;925;1058;0;1983;540;7;8;532;10;530;51;46;85;89;191;188;36;43;35;36;79;70;0;5;11;12;3;1;0;4;2;2;0;1;0;1;1;1;0;0;19;14;0;2;0;0;0;0;0;0;5;3;0;0;0;2;12;10;2
0.3;08212000;26.09.2021;Bundestagswahl;00421;004-21 Goethe-Gymnasium;26.09.2021 10:03:12 023;691;963;0;1654;453;14;4;449;8;445;65;53;93;82;147;147;29;43;43;41;27;27;0;3;10;10;5;5;0;1;0;0;0;0;0;0;0;0;0;1;18;13;0;0;0;0;0;0;0;0;6;2;0;1;0;13;5;3;1
0.3;08212000;26.09.2021;Bundestagswahl;00422;004-22 Goethe-Gymnasium;26.09.2021 10:03:12 023;848;746;0;1594;486;7;4;482;6;480;70;64;73;84;170;147;42;66;49;44;40;39;0;4;11;9;2;2;0;1;1;1;0;0;0;1;0;0;0;1;13;10;1;1;0;0;0;0;0;0;4;0;0;0;0;1;3;5;3
0.3;08212000;26.09.2021;Bundestagswahl;00423;004-23 Kimmelmannschule;26.09.2021 10:03:12 023;915;1053;0;1968;603;6;5;598;5;598;117;96;140;143;174;153;58;72;27;38;34;43;0;11;12;9;2;1;0;1;4;1;0;0;0;0;0;0;0;1;23;20;2;0;0;0;0;0;0;0;2;2;0;1;0;2;2;4;1
0.3;08212000;26.09.2021;Bundestagswahl;00424;004-24 Weinbrennerschule;26.09.2021 10:03:12 023;579;891;0;1470;350;12;2;348;2;348;66;52;52;57;119;111;31;49;19;17;28;25;0;3;5;3;1;2;0;0;1;1;0;0;0;1;1;0;0;0;22;20;1;1;0;0;0;0;0;0;0;0;0;2;0;0;2;4;0
0.3;08212000;26.09.2021;Bundestagswahl;00425;004-25 Südendschule;26.09.2021 10:03:12 023;627;778;0;1405;468;10;0;468;0;468;70;57;94;103;163;152;32;56;34;33;39;33;0;4;5;5;2;1;0;0;1;1;0;0;0;0;0;0;0;1;16;16;0;0;0;0;0;0;0;0;3;0;0;0;0;1;9;5;0
0.3;08212000;26.09.2021;Bundestagswahl;00426;004-26 Kimmelmannschule;26.09.2021 10:03:12 023;679;1198;0;1877;470;3;3;467;1;469;69;63;93;93;165;161;38;48;21;25;44;37;0;11;11;4;2;2;0;2;1;1;0;0;0;3;0;0;0;0;16;14;0;0;0;0;0;0;0;0;0;0;0;0;0;3;7;2;0
0.3;08212000;26.09.2021;Bundestagswahl;00427;004-27 Südendschule;26.09.2021 10:03:12 023;716;834;0;1550;481;10;2;479;2;479;53;43;114;99;183;187;39;55;16;20;40;39;0;2;6;3;1;1;0;3;2;2;0;0;0;1;0;0;0;0;14;13;0;0;0;0;0;0;0;0;0;1;0;0;0;6;10;4;1
0.3;08212000;26.09.2021;Bundestagswahl;00428;004-28 Goethe-Gymnasium;26.09.2021 10:03:12 023;549;834;0;1383;314;6;2;312;2;312;39;31;45;56;120;98;25;34;14;18;35;32;0;3;10;8;3;3;0;5;1;1;0;0;0;1;1;0;0;1;14;10;1;1;0;0;0;0;0;0;1;0;0;0;0;5;3;5;0
0.3;08212000;26.09.2021;Bundestagswahl;00429;004-29 Südendschule;26.09.2021 10:03:12 023;548;838;0;1386;377;5;1;376;0;377;48;47;67;82;145;122;26;30;21;19;32;35;0;6;5;7;6;3;0;1;5;4;0;0;0;0;2;2;0;0;14;13;0;0;0;0;0;1;0;0;2;1;0;0;0;0;2;4;1
0.3;08212000;26.09.2021;Bundestagswahl;00521;005-21 Draisschule;26.09.2021 10:03:12 023;557;892;0;1449;409;8;5;404;1;408;85;83;58;59;137;109;46;65;25;28;22;32;0;1;8;6;2;0;0;0;3;2;0;0;0;0;0;0;0;0;10;10;0;0;0;0;0;0;0;0;2;2;0;0;0;5;6;6;0
0.3;08212000;26.09.2021;Bundestagswahl;00522;005-22 Helmholtz-Gymnasium;26.09.2021 10:03:12 023;853;875;0;1728;507;5;6;501;6;501;57;48;109;114;164;149;51;59;39;39;40;48;0;6;9;8;7;4;0;4;4;3;0;1;0;0;0;0;0;0;10;10;0;0;0;0;0;0;0;0;2;0;0;0;0;4;9;4;0
0.3;08212000;26.09.2021;Bundestagswahl;00523;005-23 Lessing-Gymnasium;26.09.2021 10:03:12 023;788;863;0;1651;527;7;4;523;6;521;73;63;109;103;194;182;40;59;28;27;38;48;0;4;14;9;4;6;0;0;0;0;0;0;0;0;1;0;0;0;12;6;2;2;0;1;0;0;0;0;1;2;0;0;0;5;6;4;1
0.3;08212000;26.09.2021;Bundestagswahl;00524;005-24 Lessing-Gymnasium;26.09.2021 10:03:12 023;748;967;0;1715;529;20;7;522;5;524;57;55;96;107;211;190;48;54;20;24;39;45;0;3;15;6;6;5;0;0;0;0;0;0;0;3;0;0;0;0;17;16;1;0;0;1;0;1;0;0;6;4;0;0;0;4;6;6;0
0.3;08212000;26.09.2021;Bundestagswahl;00525;005-25 Weinbrennerschule;26.09.2021 10:03:12 023;823;927;0;1750;501;9;3;498;2;499;75;59;102;106;171;145;43;63;24;26;42;51;0;9;13;10;4;5;0;2;2;1;0;0;0;0;2;0;0;0;11;15;0;0;0;0;0;0;0;0;1;1;0;1;0;2;5;3;3
0.3;08212000;26.09.2021;Bundestagswahl;00526;005-26 Lessing-Gymnasium;26.09.2021 10:03:12 023;836;1078;0;1914;511;10;9;502;4;507;75;55;104;119;164;163;42;58;33;33;48;43;0;4;8;7;9;3;0;2;1;2;0;0;0;1;1;2;0;0;11;6;2;1;0;0;0;0;0;0;1;0;0;1;0;7;3;0;0
0.3;08212000;26.09.2021;Bundestagswahl;00527;005-27 Weinbrennerschule;26.09.2021 10:03:12 023;720;855;0;1575;471;18;6;465;3;468;64;61;97;87;172;155;50;69;25;24;34;44;0;2;5;1;2;3;0;0;0;1;0;0;0;1;1;1;0;0;10;11;1;0;0;0;0;0;0;0;0;1;0;0;0;3;3;4;1
0.3;08212000;26.09.2021;Bundestagswahl;00528;005-28 Helmholtz-Gymnasium;26.09.2021 10:03:12 023;815;868;0;1683;498;6;2;496;1;497;78;70;117;130;139;114;50;65;33;34;30;28;0;5;10;10;7;1;0;0;0;0;0;0;0;1;0;0;0;2;16;14;2;1;0;0;0;1;0;0;6;4;0;0;0;7;7;10;1
0.3;08212000;26.09.2021;Bundestagswahl;00621;006-21 Rennbuckelschule;26.09.2021 10:03:12 023;899;742;0;1641;579;19;2;577;2;577;156;132;128;124;111;110;57;80;68;65;21;16;0;8;11;12;11;9;0;2;1;0;0;0;0;0;0;0;0;0;6;9;0;0;0;0;0;0;0;0;4;2;0;3;0;2;2;3;1
0.3;08212000;26.09.2021;Bundestagswahl;00622;006-22 Werner-von-Siemens-Schule;26.09.2021 10:03:12 023;1333;715;0;2048;586;6;16;570;18;568;103;72;138;153;90;80;68;78;82;83;40;42;0;12;10;5;6;1;0;2;1;0;0;1;0;1;1;0;0;0;21;16;0;2;0;0;0;0;0;0;2;1;0;1;0;13;6;5;2
0.3;08212000;26.09.2021;Bundestagswahl;00623;006-23 Werner-von-Siemens-Schule;26.09.2021 10:03:12 023;880;991;0;1871;568;16;9;559;9;559;132;130;117;109;113;111;62;74;72;69;26;26;0;4;7;5;9;7;0;0;1;1;0;0;0;0;1;0;0;0;15;13;0;0;0;1;0;0;0;1;2;2;0;0;0;3;2;3;0
0.3;08212000;26.09.2021;Bundestagswahl;00624;006-24 Werner-von-Siemens-Schule;26.09.2021 10:03:12 023;1108;984;0;2092;705;8;10;695;7;698;156;148;178;166;159;141;76;100;63;63;24;36;0;7;6;2;7;6;0;3;2;1;0;0;0;0;0;1;0;0;13;9;0;0;0;0;0;0;0;0;4;2;0;0;0;4;7;9;0
0.3;08212000;26.09.2021;Bundestagswahl;00721;007-21 Friedrich-List-Schule;26.09.2021 10:03:12 023;846;928;0;1774;483;8;6;477;4;479;41;26;116;116;153;134;26;47;43;45;42;45;0;7;15;9;7;4;0;5;3;3;0;0;0;0;1;0;0;2;19;21;0;0;0;0;0;1;0;2;3;1;0;0;0;5;6;6;2
0.3;08212000;26.09.2021;Bundestagswahl;00722;007-22 Heinrich-Meidinger-Schule;26.09.2021 10:03:12 023;666;819;0;1485;415;22;5;410;4;411;69;57;69;75;119;105;46;57;36;41;37;39;0;4;8;4;5;2;0;2;1;1;0;0;0;0;0;0;0;0;10;9;0;0;0;0;0;0;0;0;3;2;0;0;0;5;5;8;2
0.3;08212000;26.09.2021;Bundestagswahl;00723;007-23 Lidellschule;26.09.2021 10:03:12 023;763;751;0;1514;464;2;14;450;10;454;72;55;110;110;130;119;36;41;31;39;29;33;0;9;8;5;4;6;0;1;2;2;0;0;0;0;0;2;0;0;18;16;1;2;0;2;0;0;0;0;0;0;0;0;0;9;8;3;1
0.3;08212000;26.09.2021;Bundestagswahl;00724;007-24 Lidellschule;26.09.2021 10:03:12 023;823;906;0;1729;495;5;3;492;7;488;88;82;104;99;145;127;50;67;48;43;22;33;0;1;10;5;7;5;0;3;0;4;0;0;0;0;4;1;0;1;6;6;1;1;0;0;0;0;0;0;4;3;0;0;0;1;3;6;0
0.3;08212000;26.09.2021;Bundestagswahl;00725;007-25 Lidellschule;26.09.2021 10:03:12 023;717;1040;0;1757;463;9;6;457;6;457;55;45;77;83;187;165;30;46;27;31;47;55;0;2;12;9;4;3;0;1;1;0;0;0;0;0;0;0;0;1;5;4;2;1;0;0;0;0;0;0;3;2;0;1;0;2;4;6;3
0.3;08212000;26.09.2021;Bundestagswahl;00726;007-26 Friedrich-List-Schule;26.09.2021 10:03:12 023;647;1290;0;1937;439;11;1;438;1;438;35;30;57;51;205;181;39;56;19;19;38;55;0;2;14;11;3;1;0;4;1;1;0;0;0;1;1;1;0;0;10;11;2;3;0;1;0;0;0;0;3;1;0;2;0;0;7;7;4
0.3;08212000;26.09.2021;Bundestagswahl;00727;007-27 Betreues Wohnen Klosterweg;26.09.2021 10:03:12 023;645;698;0;1343;392;13;2;390;3;389;50;48;82;75;117;103;28;43;31;32;32;36;0;2;10;10;4;4;0;3;4;4;0;0;0;0;0;0;0;0;13;10;1;1;0;1;0;0;0;0;4;5;0;0;0;3;13;9;1
0.3;08212000;26.09.2021;Bundestagswahl;00728;007-28 Lidellschule;26.09.2021 10:03:12 023;706;940;0;1646;462;41;1;461;3;459;53;49;98;94;150;135;47;60;23;18;35;49;0;4;18;10;3;3;0;3;6;1;0;0;0;2;2;1;0;1;12;16;3;3;0;0;0;0;0;0;6;2;0;0;0;2;4;6;1
0.3;08212000;26.09.2021;Bundestagswahl;00821;008-21 Draisschule;26.09.2021 10:03:12 023;1071;803;0;1874;622;4;8;614;7;615;135;126;141;134;134;131;41;55;65;71;48;41;0;7;9;6;7;7;0;0;3;2;0;0;0;1;0;0;0;0;21;21;2;1;0;0;0;1;0;0;2;1;0;0;0;3;6;7;0
0.3;08212000;26.09.2021;Bundestagswahl;00822;008-22 Friedrich-Ebert-Schule;26.09.2021 10:03:12 023;1584;746;0;2330;683;8;17;666;16;667;123;117;173;164;94;82;62;83;102;95;44;43;0;15;12;11;9;8;0;2;2;0;0;1;0;1;1;1;0;0;28;21;3;0;0;1;0;0;0;1;6;4;0;0;0;12;6;5;1
0.3;08212000;26.09.2021;Bundestagswahl;00823;008-23 Vogesenschule;26.09.2021 10:03:12 023;1058;1109;0;2167;538;9;10;528;6;532;96;88;114;105;125;113;61;76;64;69;22;28;0;5;10;13;5;3;0;1;1;1;0;0;0;0;0;1;0;0;18;17;0;0;0;0;0;0;0;0;6;3;0;0;0;4;6;5;0
0.3;08212000;26.09.2021;Bundestagswahl;00824;008-24 Vogesenschule;26.09.2021 10:03:12 023;1255;887;0;2142;599;10;5;594;10;589;97;89;122;119;136;134;69;81;74;70;41;40;0;8;20;14;7;1;0;5;1;1;0;0;0;1;1;0;0;0;13;10;1;0;0;0;0;0;0;0;2;1;0;0;0;8;8;7;2
0.3;08212000;26.09.2021;Bundestagswahl;00825;008-25 Draisschule;26.09.2021 10:03:12 023;978;1075;0;2053;618;11;6;612;7;611;81;66;116;129;215;191;54;69;62;64;22;32;0;8;17;8;6;4;0;0;4;4;0;0;0;0;4;3;0;0;22;21;2;1;0;0;0;1;0;0;1;1;0;0;0;3;5;6;1
0.3;08212000;26.09.2021;Bundestagswahl;00921;009-21 Adam-Remmele-Schule;26.09.2021 10:03:12 023;1133;606;0;1739;638;6;12;626;10;628;147;113;146;161;80;70;66;78;110;106;23;25;0;13;10;12;12;10;0;5;2;2;0;0;0;0;2;1;0;0;15;17;2;2;0;0;0;0;0;0;3;3;0;2;0;5;5;3;3
0.3;08212000;26.09.2021;Bundestagswahl;00922;009-22 Adam-Remmele-Schule;26.09.2021 10:03:12 023;1190;591;0;1781;598;7;18;580;14;584;112;107;173;175;63;59;59;70;110;100;19;15;0;17;11;6;8;8;0;7;1;2;0;0;0;0;0;0;0;0;18;15;1;1;0;0;0;0;0;0;3;0;0;0;0;1;1;1;1
0.3;08212000;26.09.2021;Bundestagswahl;00923;009-23 Grundschule Daxlanden;26.09.2021 10:03:12 023;939;752;0;1691;535;8;1;534;8;527;107;92;127;131;120;120;57;66;48;50;32;30;0;5;16;9;4;4;0;1;3;1;0;0;0;0;1;1;0;1;12;10;2;0;0;0;0;0;0;0;0;0;0;1;0;5;2;0;3
0.3;08212000;26.09.2021;Bundestagswahl;00924;009-24 Grundschule Daxlanden;26.09.2021 10:03:12 023;943;769;0;1712;581;4;7;574;7;574;167;146;111;117;108;97;76;89;50;56;20;26;0;10;13;6;4;1;0;3;3;1;0;0;0;0;0;0;0;0;14;10;3;5;0;0;0;0;0;0;0;0;0;0;0;2;5;5;0
0.3;08212000;26.09.2021;Bundestagswahl;00925;009-25 Adam-Remmele-Schule;26.09.2021 10:03:12 023;1077;588;0;1665;571;4;13;558;12;559;108;93;164;169;70;65;52;61;92;87;21;25;0;15;14;5;8;5;0;3;4;1;0;0;0;0;0;1;0;0;17;17;1;1;0;1;0;0;0;0;3;2;0;0;0;5;4;3;0
0.3;08212000;26.09.2021;Bundestagswahl;01021;010-21 Grundschule Knielingen;26.09.2021 10:03:12 023;1110;804;0;1914;656;6;11;645;9;647;163;153;147;152;95;87;75;76;79;78;29;38;0;7;14;10;15;14;0;5;1;1;0;0;0;0;0;0;0;0;18;15;2;2;0;3;0;0;0;0;2;1;0;0;0;2;4;3;1
0.3;08212000;26.09.2021;Bundestagswahl;01022;010-22 Viktor-von-Scheffel-Schule;26.09.2021 10:03:12 023;1001;915;0;1916;622;8;6;616;5;617;139;120;156;148;114;107;64;90;95;94;18;19;0;4;12;7;3;5;0;2;0;1;0;2;0;1;1;1;0;0;7;3;1;2;0;0;0;0;0;0;1;1;0;1;0;8;3;1;2
0.3;08212000;26.09.2021;Bundestagswahl;01023;010-23 Viktor-von-Scheffel-Schule;26.09.2021 10:03:12 023;893;882;0;1775;561;14;7;554;4;557;146;120;110;117;105;81;72;101;58;65;13;17;0;6;15;9;11;8;0;4;1;0;0;0;0;0;0;0;0;0;18;12;2;2;0;1;0;0;0;0;2;0;0;2;0;8;1;4;0
0.3;08212000;26.09.2021;Bundestagswahl;01024;010-24 Viktor-von-Scheffel-Schule;26.09.2021 10:03:12 023;1020;775;0;1795;587;1;10;577;13;574;148;123;129;130;112;100;65;89;53;55;20;23;0;6;16;13;7;4;0;4;5;2;0;1;0;0;0;0;0;0;13;11;2;2;0;1;0;0;0;0;3;0;0;1;0;6;4;3;0
0.3;08212000;26.09.2021;Bundestagswahl;01121;011-21 Feuerwehrhaus Grünwinkel;26.09.2021 10:03:12 023;1137;842;0;1979;651;10;14;637;17;634;117;111;147;145;173;137;63;91;72;75;23;30;0;6;11;10;10;5;0;2;0;0;0;1;0;1;0;0;0;0;13;10;1;2;0;0;0;0;0;0;1;1;0;0;0;3;5;4;1
0.3;08212000;26.09.2021;Bundestagswahl;01122;011-22 Gaststätte Siedlerheim;26.09.2021 10:03:12 023;1145;1015;0;2160;784;12;12;772;4;780;167;147;163;161;176;169;81;108;91;94;29;31;0;3;15;7;10;12;0;6;1;1;0;0;0;1;1;1;0;0;28;22;0;0;0;2;0;2;0;0;4;2;0;0;0;9;4;2;2
0.3;08212000;26.09.2021;Bundestagswahl;01123;011-23 Grundschule Grünwinkel;26.09.2021 10:03:12 023;935;610;0;1545;533;4;6;527;6;527;116;108;135;130;68;61;55;62;92;87;20;28;0;4;8;4;4;6;0;2;0;0;0;0;0;0;1;0;0;0;17;21;4;3;0;0;0;0;0;0;4;4;0;0;0;3;3;4;0
